DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2017-S2,0.1599,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2018-S1,0.1612,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2018-S2,0.1698,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2019-S1,0.1734,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2019-S2,0.1783,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2020-S1,0.1740,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2020-S2,0.1773,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2016-S1,0.1685,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2016-S2,0.1711,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2017-S1,0.1704,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2017-S2,0.1756,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2018-S1,0.1748,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2018-S2,0.1799,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2019-S1,0.1778,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2019-S2,0.1913,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2020-S1,0.1893,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FR,2020-S2,0.1958,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,GE,2018-S1,0.0685,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,GE,2018-S2,0.0741,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,GE,2019-S1,0.0809,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,GE,2019-S2,0.0619,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,GE,2020-S1,0.0663,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,GE,2020-S2,0.0568,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,HR,2016-S1,0.1311,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,HR,2016-S2,0.1331,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,HR,2017-S1,0.1196,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,HR,2017-S2,0.1236,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,HR,2018-S1,0.1311,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,HR,2018-S2,0.1321,
