DATE,INF,DP,DM,DC,DS,TS,DT,RF_daily,RF_monthly
2024-09-12,0.007542565913622832,0.005260625426282469,0.010654235146469033,0.006631908771502509,0.0,-3.643,-0.0030000000000001137,0.018011292884101415,0.3789191823228677
2024-09-13,0.007541997053538096,0.005260348699055008,0.010653100140158623,0.006631468978534909,-0.010000000000000009,-3.646,-0.0030000000000001137,0.017984741937993043,0.3783596019891089
2024-09-14,0.007541428279219487,0.0052600720009130944,0.010651965375593948,0.006631029243892626,0.0033333333333332993,-3.6489999999999996,-0.0029999999999996696,0.017958189222677667,0.3777999873387561
2024-09-15,0.007540859590711412,0.005259795331901135,0.010650830852797218,0.006630589567553455,0.0033333333333334103,-3.652,-0.0030000000000005578,0.017931634737888835,0.377240338367435
2024-09-16,0.007540290987947262,0.005259518691974724,0.010649696571635229,0.006630149949517398,0.0033333333333332993,-3.6550000000000002,-0.0030000000000001137,0.017905078483382297,0.3766806550707047
2024-09-17,0.007539722470949244,0.005259242081156065,0.010648562531996976,0.006629710389784457,-0.010000000000000009,-3.6579999999999995,-0.0029999999999992255,0.017878520458958214,0.37612093744419095
2024-09-18,0.007539154039650749,0.005258965499445157,0.010647428733926875,0.006629270888332428,-0.010000000000000009,-3.651,0.006999999999999673,0.01785196066435013,0.37556118548347506
2024-09-19,0.00753858569405178,0.005258688946797595,0.010646295177202912,0.0066288314451391096,0.019999999999999907,-3.6639999999999993,-0.012999999999999456,0.0178253990993138,0.37500139918418274
2024-09-20,0.007538017434152337,0.005258412423257785,0.0106451618618695,0.006628392060204504,0.0,-3.6569999999999996,0.006999999999999673,0.01779883576364938,0.3744415785418509
2024-09-21,0.007537449259908018,0.005258135928759117,0.010644028787749029,0.006627952733506406,0.0,-3.6566666666666667,0.00033333333333285253,0.017772270657090417,0.37388172355212745
2024-09-22,0.00753688117129662,0.0052578594633682025,0.010642895954863708,0.0066275134650448176,0.0,-3.6563333333333325,0.0003333333333341848,0.017745703779392663,0.37332183421059373
2024-09-23,0.007536313168362549,0.005257583027040634,0.010641763363035933,0.006627074254797539,0.0,-3.6559999999999997,0.00033333333333285253,0.01771913513035628,0.3727619105128088
2024-09-24,0.007535745250994796,0.005257306619798615,0.010640631012287911,0.006626635102764567,0.0,-3.6390000000000002,0.01699999999999946,0.01769256470971481,0.37220195245442067
2024-09-25,0.0075351774191933585,0.005257030241575537,0.010639498902464236,0.006626196008945905,-0.020000000000000018,-3.6219999999999994,0.017000000000000792,0.01766599251724621,0.37164196003096617
2024-09-26,0.007534609673002646,0.005256753892460212,0.010638367033498311,0.006625756973297147,0.010000000000000009,-3.625,-0.0030000000000005578,0.017639418552706232,0.37108193323807104
2024-09-27,0.007534042012333849,0.0052564775723416245,0.01063723540536794,0.006625317995818294,-0.009999999999999898,-3.5979999999999994,0.02700000000000058,0.017612842815850627,0.3705218720713166
2024-09-28,0.007533474437231373,0.005256201281308588,0.01063610401793992,0.006624879076531549,0.0,-3.601,-0.0030000000000005578,0.017586265306479554,0.36996177652626194
2024-09-29,0.007532906947606409,0.0052559250193166965,0.010634972871169854,0.006624440215370304,-1.1102230246251565e-16,-3.604,-0.0030000000000001137,0.017559686024304355,0.369401646598555
2024-09-30,0.007532339543458958,0.005255648786365949,0.010633841964946742,0.006624001412356763,0.0,-3.6069999999999993,-0.0029999999999992255,0.017533104969102986,0.3688414822837327
2024-10-01,0.007531772224811227,0.005255372582434143,0.01063271129924839,0.006623562667468725,-0.009999999999999898,-3.57,0.03699999999999948,0.017506522140675607,0.36828128357737633
2024-10-02,0.009046372786326706,0.0016569847771820013,0.019974231890740553,-0.004760142711089343,0.009999999999999898,-3.587096774193548,-0.01709677419354838,0.017495496484154494,0.36804893300925734
2024-10-03,0.00904555449175757,0.0016569573216661047,0.01997024298807794,-0.004760369311467378,-0.009999999999999787,-3.5941935483870964,-0.00709677419354815,0.017484470522566298,0.36781657652420474
2024-10-04,0.009044736345205489,0.0016569298670383646,0.019966255678307992,-0.004760595933407485,0.010000000000000009,-3.651290322580645,-0.057096774193548416,0.01747344425586661,0.36758421412190767
2024-10-05,0.009043918346648262,0.0016569024133431887,0.019962269960431895,-0.004760822576920766,-0.00666666666666671,-3.6517204301075266,-0.00043010752688177334,0.01746241768405543,0.36735184580207747
2024-10-06,0.009043100495997082,0.0016568749605361689,0.019958285833517435,-0.004761049242040529,-0.006666666666666599,-3.6521505376344083,-0.00043010752688177334,0.01745139080708835,0.3671194715643811
2024-10-07,0.009042282793296358,0.0016568475086395091,0.019954303296588007,-0.004761275928733467,-0.00666666666666671,-3.65258064516129,-0.00043010752688177334,0.017440363624987576,0.3668870914084854
2024-10-08,0.00904146523841288,0.00165682005765321,0.019950322348778,-0.00476150263701068,0.0,-3.6396774193548382,0.012903225806451868,0.0174293361377309,0.3666547053341018
2024-10-09,0.00904064783141326,0.001656792607577271,0.019946342989044196,-0.004761729366883276,-0.010000000000000009,-3.6367741935483866,0.002903225806451637,0.017418308345273914,0.36642231334091946
2024-10-10,0.009039830572142082,0.0016567651584116923,0.01994236521645439,-0.00476195611835125,0.0,-3.633870967741935,0.002903225806451637,0.01740728024761662,0.36618991542860524
2024-10-11,0.009039013460665959,0.0016567377101786777,0.019938389030076366,-0.0047621828914035024,0.0,-3.6309677419354833,0.002903225806451637,0.01739625184473681,0.3659575115968261
